name,Red. Mutex, Mutex, Red. Impl TC, Impl. TC, Red. Impl. TR, Impl. TR, Cooc
Comparison_of_3D_computer_graphics_software_0.csv,233,2756,84,1612,87,310,8
Comparison_of_accounting_software_0.csv,299,522,422,524,126,142,4
Comparison_of_accounting_software_1.csv,47,236,30,119,29,62,0
Comparison_of_accounting_software_2.csv,519,3219,150,2268,104,333,32
Comparison_of_ADC_software_0.csv,2,12,7,7,7,7,0
Comparison_of_ADC_software_1.csv,6,40,18,26,8,10,0
Comparison_of_ADC_software_2.csv,5,44,5,18,5,13,0
Comparison_of_ADC_software_3.csv,10,24,24,60,11,18,2
Comparison_of_ADC_software_4.csv,0,3,6,6,4,4,0
Comparison_of_ADC_software_5.csv,0,0,6,6,5,5,0
Comparison_of_ADC_software_6.csv,17,33,13,23,11,15,0
Comparison_of_ADC_software_7.csv,23,97,70,205,28,48,5
Comparison_of_ADC_software_8.csv,1,22,20,20,12,12,1
Comparison_of_ADC_software_9.csv,4,10,11,11,6,6,0
Comparison_of_ADC_software_10.csv,19,40,6,10,6,10,1
Comparison_of_ADC_software_11.csv,0,0,13,25,11,14,1
Comparison_of_AMD_chipsets_1.csv,745,2068,238,1318,122,206,24
Comparison_of_Android_e-book_reader_software_0.csv,213,783,160,808,82,144,6
Comparison_of_antivirus_software_0.csv,1615,2786,734,734,315,315,15
Comparison_of_antivirus_software_1.csv,182,705,230,901,77,138,6
Comparison_of_application_servers_0.csv,0,0,188,3074,388,563,98
Comparison_of_assemblers_5.csv,53,363,35,165,30,71,0
Comparison_of_audio_player_software_0.csv,182,1560,75,1466,64,186,1
Comparison_of_business_integration_software_0.csv,457,2490,122,1647,92,194,10
Comparison_of_command_shells_0.csv,720,3916,394,4259,189,404,26
Comparison_of_CRM_systems_0.csv,699,5967,202,6050,184,530,15
Comparison_of_file_verification_software_0.csv,120,2280,68,2691,47,233,1
pcm.csv,182,1560,75,1466,64,186,1
