name,encryption,ipv6,bloom filter,plugin:lua,plugin:python,plugin:ruby,plugin:java,plugin:*,plugin:c#,plugin:c,hash algorithms:tiger tree hash,hash algorithms:*,adc support:tigr,adc support:ping,adc support:adcs,adc support:keyp,adc support:asch,adc support:sudp,adc support:*
adch++,X,X,X,X,X,X,,,,,X,,X,X,X,,,,
adch++ gui,X,,X,,X,,,,,,X,,X,X,X,,,,
dshub,X,,,,X,,X,,,,X,,X,X,X,,,,
flexhub,X,,,,,,,X,,,X,,X,X,X,,,,
luadch,X,,,X,,,,,,,X,,X,X,X,X,X,X,
nexthub,X,,,,,,,,X,,X,,X,,X,,,,
uhub,X,X,,,,,,,,X,X,,X,X,X,,,,
qhub,,,,,,,,X,,,X,,X,,,,,,
starlet adc hub,,,,,,,,X,,,X,,X,,,,,,
starhub,,,,,,,,X,,,X,,X,,,,,,
rushub,,,,,,,,X,,,X,,X,,,,,,
