name,magnet uri,upnp,nat traversal,dht,encryption,ipv6,proxy,nmdc compatible,plugin:*,plugin:c++,plugin:lua,plugin:eclipse rcp,plugin:qtscript,plugin:qml,hash algorithms:tiger tree hash,hash algorithms:*,protocol support:tigr,protocol support:adcs,protocol support:ucmd,protocol support:natt,protocol support:sega,protocol support:pfsr,protocol support:keyp,protocol support:pbd1,protocol support:ubn1,protocol support:mcn1,protocol support:blom,protocol support:sudp,protocol support:fo,protocol support:qp,protocol support:hbri,protocol support:asch,protocol support:inherits from airdc++,protocol support:inherits from strongdc++,protocol support:inherits from dc++,protocol support:fs,protocol support:*
airdc++,X,X,X,,X,X,X,X,X,,,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,
airdc++ nano,,X,X,,X,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,
apexdc++,X,X,X,X,X,,X,X,,X,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,
dc++,X,X,X,,X,X,X,X,,X,X,,,,X,,X,X,X,X,X,,,,,,X,,,,,,,,,,
jucy,X,X,,,X,X,X,X,,,,X,,,X,,X,X,X,,,,X,,,,X,X,,,,,,,,,
linuxdc++,X,X,,,X,,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,
eiskaltdc++,X,X,X,X,X,,X,X,,,X,,X,X,X,,X,X,X,X,X,X,X,,,,X,,,,,,,,,X,
flylinkdc++,X,X,X,X,X,,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,
rsx++,X,X,,X,X,,X,X,,X,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,
tkdc++,X,X,X,,X,,X,X,,X,X,,,,X,,X,X,X,X,X,X,,,,,X,,,,,,,,,,
strongdc++,X,X,X,X,X,,X,X,X,,,,,,X,,X,X,X,X,X,X,,,,,X,,,X,,,,,,,
ncdc,,,,,X,X,,X,X,,,,,,X,,X,X,,,,,X,,,,,X,,,,,,,,,
