name,.chm,.djvu,.epub,.fb2,.html,.mobi,.oeb,.rtf,.pdf,.txt,.doc,.docx,.pdb,developer:aldiko limited,developer:alan.neverland,developer:*,developer:vadim lopatin,developer:ak2,developer:ebooks.com,developer:unidocs inc.,developer:fbreader.org limited,developer:google inc.,developer:amazon mobile llc,developer:kobo ebooks,developer:ael data services llp,developer:mantano sas,developer:moon+,developer:obreey products,developer:snapplify,developer:gigamarket ltd.,developer:zxstyles,formats total:01,formats total:02,formats total:04,formats total:05,formats total:07,formats total:08,formats total:09,formats total:11,formats total:[01-02],formats total:[02-04],formats total:[04-05],formats total:[05-07],formats total:[07-08],formats total:[08-09],formats total:[09-11],formats total:[01-04],formats total:[02-05],formats total:[04-07],formats total:[05-08],formats total:[07-09],formats total:[08-11],formats total:[01-05],formats total:[02-07],formats total:[04-08],formats total:[05-09],formats total:[07-11],formats total:[01-07],formats total:[02-08],formats total:[04-09],formats total:[05-11],formats total:[01-08],formats total:[02-09],formats total:[04-11],formats total:[01-09],formats total:[02-11],formats total:[01-11],formats total:*
aldiko book reader,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
alreader,,,X,X,X,X,,X,,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,
bookbox,,,X,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
cool reader,X,,X,X,X,X,,X,,X,X,,X,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
ebookdroid,,X,X,X,,,,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,
ebook reader,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
ezpdf reader,,,X,,X,,,,X,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,
fbreader,,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,
google play books,,,X,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
ireader,,,X,,X,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
kindle,,,,,,X,,,X,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
kobo books,,,X,,X,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,
lektz ebook reader,,,X,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
mantano ebook reader,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,
moon+ reader pro,X,,X,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,
pocketbook,X,X,X,X,X,,,X,X,X,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
snapplify,,,X,,X,,,,X,X,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
socio ereader,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,
zxreader,,,X,X,X,,,,,X,,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,
