name,last release date:2006,last release date:2009,last release date:2011,last release date:2012,last release date:2013,last release date:2014,last release date:2015,last release date:[2006-2009],last release date:[2009-2011],last release date:[2011-2012],last release date:[2012-2013],last release date:[2013-2014],last release date:[2014-2015],last release date:[2006-2011],last release date:[2009-2012],last release date:[2011-2013],last release date:[2012-2014],last release date:[2013-2015],last release date:[2006-2012],last release date:[2009-2013],last release date:[2011-2014],last release date:[2012-2015],last release date:[2006-2013],last release date:[2009-2014],last release date:[2011-2015],last release date:[2006-2014],last release date:[2009-2015],last release date:[2006-2015],last release date:*,license:saas,license:gpl,license:agpl3,license:proprietary,license:mit,license:*,implementation language(s):asp,implementation language(s):vbscript,implementation language(s):java,implementation language(s):ruby on rails,implementation language(s):python,implementation language(s):php,implementation language(s):.net,implementation language(s):asp.net,implementation language(s):javascript,implementation language(s):c++,implementation language(s):apex,implementation language(s):c#,implementation language(s):*,server operating system:windows,server operating system:linux,server operating system:unix,server operating system:mac os,server operating system:cloud computing,server operating system:ios,server operating system:android,server operating system:windows phone,server operating system:cross-platform,server operating system:web,server operating system:*,database backend:sql server,database backend:*,database backend:mysql,database backend:ms sql,database backend:postgresql,database backend:adodb,database backend:firebird,database backend:interbase,database backend:maxdb,database backend:ms sql server,database backend:oracle,database backend:sqlite,database backend:sqlite3,database backend:csv files,database backend:dbf files,database backend:db2,database backend:proprietary,database backend:google app engine,database backend:mariadb,database backend:amazon server,first release date:1981,first release date:1990,first release date:1996,first release date:1998,first release date:1999,first release date:2001,first release date:2003,first release date:2004,first release date:2005,first release date:2006,first release date:2008,first release date:2009,first release date:2010,first release date:2012,first release date:2013,first release date:[1981-1990],first release date:[1990-1996],first release date:[1996-1998],first release date:[1998-1999],first release date:[1999-2001],first release date:[2001-2003],first release date:[2003-2004],first release date:[2004-2005],first release date:[2005-2006],first release date:[2006-2008],first release date:[2008-2009],first release date:[2009-2010],first release date:[2010-2012],first release date:[2012-2013],first release date:[1981-1996],first release date:[1990-1998],first release date:[1996-1999],first release date:[1998-2001],first release date:[1999-2003],first release date:[2001-2004],first release date:[2003-2005],first release date:[2004-2006],first release date:[2005-2008],first release date:[2006-2009],first release date:[2008-2010],first release date:[2009-2012],first release date:[2010-2013],first release date:[1981-1998],first release date:[1990-1999],first release date:[1996-2001],first release date:[1998-2003],first release date:[1999-2004],first release date:[2001-2005],first release date:[2003-2006],first release date:[2004-2008],first release date:[2005-2009],first release date:[2006-2010],first release date:[2008-2012],first release date:[2009-2013],first release date:[1981-1999],first release date:[1990-2001],first release date:[1996-2003],first release date:[1998-2004],first release date:[1999-2005],first release date:[2001-2006],first release date:[2003-2008],first release date:[2004-2009],first release date:[2005-2010],first release date:[2006-2012],first release date:[2008-2013],first release date:[1981-2001],first release date:[1990-2003],first release date:[1996-2004],first release date:[1998-2005],first release date:[1999-2006],first release date:[2001-2008],first release date:[2003-2009],first release date:[2004-2010],first release date:[2005-2012],first release date:[2006-2013],first release date:[1981-2003],first release date:[1990-2004],first release date:[1996-2005],first release date:[1998-2006],first release date:[1999-2008],first release date:[2001-2009],first release date:[2003-2010],first release date:[2004-2012],first release date:[2005-2013],first release date:[1981-2004],first release date:[1990-2005],first release date:[1996-2006],first release date:[1998-2008],first release date:[1999-2009],first release date:[2001-2010],first release date:[2003-2012],first release date:[2004-2013],first release date:[1981-2005],first release date:[1990-2006],first release date:[1996-2008],first release date:[1998-2009],first release date:[1999-2010],first release date:[2001-2012],first release date:[2003-2013],first release date:[1981-2006],first release date:[1990-2008],first release date:[1996-2009],first release date:[1998-2010],first release date:[1999-2012],first release date:[2001-2013],first release date:[1981-2008],first release date:[1990-2009],first release date:[1996-2010],first release date:[1998-2012],first release date:[1999-2013],first release date:[1981-2009],first release date:[1990-2010],first release date:[1996-2012],first release date:[1998-2013],first release date:[1981-2010],first release date:[1990-2012],first release date:[1996-2013],first release date:[1981-2012],first release date:[1990-2013],first release date:[1981-2013],first release date:*
addresstwo,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,X,,,,,,X,X,,,,,,,,,,,,X,X,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,,,,,X,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
adempiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
base crm,,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,,,,,,,X,X,,,,,,,,,,,,,X,X,X,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
casengo,,,,,X,,,,,,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,,X,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,
civicrm,,,,,,X,,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
dynamics crm,,,,,,X,,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,,X,,,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
epesicrm,,,,,,X,,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
gnu enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,X,X,X,X,,,,,,,,,,X,,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
group-office,,,,X,,,,,,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,X,X,,,,,,,,X,,,X,,,,,X,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,X,,,,,,X,X,X,X,X,X,,,,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
leadmaster,,,,X,,,,,,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,X,,,,,,,,,,X,X,X,X,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,
