name,windows,mac os,linux,general ledger,accounts receivble/accounts payable,double-entry bookkeeping system,multi-currency pricing,online banking,point of sale,e-commerce,stock option commodity trade,payroll,entreprise ressource planning,customer relationship management,business intelligence,human ressource management,manufacturing/bill of materials,supply chain management,inventory management,distribution/warehouse management system,multiuser,multico,tax form,license:gpl,license:apache,license:gpl2,license:gpl3,license:mpl,license:agpl,license:cpal,license:*,market focus:mid-market,market focus:low-market,market focus:personal,market focus:high-market,market focus:*,structure:web based,structure:multi-user,structure:web access,structure:cloud hostable,structure:stand alone,structure:client-server,structure:on-premise,structure:saas,structure:on demand,structure:*,language:java,language:java ee,language:php,language:c,language:scheme,language:python,language:c++,language:perl,language:delphi,language:*
adempiere,X,X,X,X,X,X,X,,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,,,,,,,X,,,,,X,,,,,,,,,,X,,,,,,,,,
apache ofbiz,X,X,X,X,X,X,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,X,X,,,,,X,X,X,,,,,,,X,,,,,,,,,
compiere,X,X,X,,,,,,X,,,,X,X,,,X,,,X,,,,,,X,,,,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,
frontaccounting,X,X,X,X,X,X,X,,X,,,,X,X,,,X,X,X,,X,X,,,,,X,,,,,X,X,,,,X,,,,,,,,,,,,X,,,,,,,
gnucash,X,X,X,X,X,X,X,X,,,X,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,,,,,,,,,X,X,,,,,
gnu enterprise,X,X,X,,,,X,,,X,,,X,X,,X,,X,,,,,,X,,,,,,,,X,,,X,,X,,,,X,,,,,,,,,,,X,,,,
homebank,X,X,X,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,,,,X,,,,,,
idempiere,X,X,X,X,X,X,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,,X,,,,,,X,,,,,X,,,,,X,,,,,X,,,,,,,,,
jfire,X,,X,,,X,,,X,,,,X,X,,,,,,X,,,,X,,,,,,,,X,X,X,X,,X,,,,X,,,,,,X,,,,,,,,,
kmymoney,X,X,X,X,,X,X,X,,,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,X,,,
ledgersmb,X,X,X,X,X,X,X,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,
openbravo,X,X,X,X,X,X,X,,X,X,,X,X,X,X,X,X,,X,,X,X,X,,,,,X,,,,X,,,,,X,,,,,,X,X,X,,X,,,,,,,,,
odoo,X,X,X,X,X,X,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,X,X,,,,X,,,,,X,,,,,,,,,,X,,,,
postbooks,X,X,X,X,X,X,X,,X,X,,,X,X,X,,X,,X,X,,,,,,,,,,X,,X,X,,,,,,,,,X,,,,,,,,,,,X,,,
sql-ledger,X,X,X,X,X,X,X,,X,,,,X,,,,X,,X,,X,X,,X,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,X,,
tryton,X,X,X,X,X,X,X,X,,X,,,X,X,,,X,X,X,X,X,X,,X,,,,,,,,X,X,,,,,,,,X,X,,,,,,,,,,X,,,,
turbocash,X,X,,X,X,X,,,X,,,,,,,,X,,X,,X,X,,X,,,,,,,,X,X,,,,,,,,X,,,,,,,,,,,,,,X,
weberp,X,X,X,X,X,X,X,,,,,,X,,,,,,,,,,,X,,,,,,,,X,X,,,,X,,,,,,,,,,,,X,,,,,,,
