name,windows,os x,linux,license:software as a service,license:proprietary,license:freeware,license:*,market focus:low-market,market focus:mid-market,market focus:high-market,market focus:personal,market focus:*,structure:web based,structure:stand alone,structure:web access,structure:mobile,structure:multi-user,structure:location,structure:terminal server,structure:remote access,structure:mobile access,structure:cloud hostable,structure:*
24sevenoffice,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
the access group,X,,,,X,,,,X,,,,,X,,,,,,,,,
acumatica,X,,,X,X,,,,X,,,,X,X,,,,,,,,,
ame accounting software,X,,,,X,,,X,X,,,,,X,,,,,,,,,
aplos software,X,X,X,,X,,,X,X,,,,X,,,,,,,,,,
baan corporation,X,X,X,,X,,,X,X,,,,X,X,,,,,,,,,
big4books,X,X,X,X,,X,,X,X,,,,X,,,,,,,,,,
brightpearl,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
cgram enterprise,X,X,X,,X,,,X,X,,,,,X,,,,,,,,,
cheqbook,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
coda,X,,X,,X,,,,X,,,,,X,X,,,,,,,,
comarch altum,X,,,,X,,,X,X,,,,,X,X,,,,,,,,
cougar mountain software,X,,,,X,,,X,X,X,,,X,X,,,,,,,,,
express accounts from nch software,X,X,,,X,,,X,X,,,,,X,X,,,,,,,,
financialforce.com,X,X,X,X,,,,,X,,,,X,,,,,,,,,,
flexaccount,X,,,,X,,,,X,X,,,X,X,,,,,,,,,
fortora fresh finance,X,X,,,X,,,,,,X,,,X,,,,,,,,,
freeagent,X,X,X,X,,,,X,,,,,X,,,,,,,,,,
freshbooks,X,X,X,X,,,,X,,,,,X,,,,,,,,,,
gem accounts,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
ibank,,X,,,X,,,,,,X,,,X,,X,,,,,,,
intacct,X,X,X,X,,,,,X,,,,X,,,,,,,,,,
invoiceit,X,,,,X,,,X,X,,,,,X,,,,,,,,,
kashflow,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
kashoo,X,X,X,X,,,,X,,,,,X,,,,,,,,,,
microsoft dynamics ax,X,,,,X,,,,X,X,,,,,,,X,X,X,,,,
microsoft dynamics c5,X,,,,X,,,X,,,,,,,X,,X,,,X,X,X,
microsoft dynamics gp,X,,,,X,,,X,X,,,,,,X,,X,X,X,X,X,X,
microsoft dynamics nav,X,,,,X,,,X,X,,,,,,X,,X,X,X,X,X,X,
microsoft dynamics sl,X,,,,X,,,X,X,,,,,,X,,X,X,X,,,,
microsoft money,X,,,,X,,,,,,X,,,X,,,,,,,,,
microsoft office accounting,X,,,,X,X,,X,,,,,,X,,,,,,,,,
mint.com,X,X,X,X,,,,,,,X,,X,,,,,,,,,,
moneydance,X,X,X,,X,,,,,,X,,,X,,,,,,,,,
moneywiz,,X,,,X,,,,,,X,,,X,,X,,,,,,,
myob accountright,X,X,,,X,,,X,X,X,,,,X,,,,,,,,,
myob exo business,X,,,,X,,,,X,X,,,,X,,,X,X,X,X,,,
netsuite,X,X,X,X,,,,,X,,,,X,,,,,,,,,,
newviews,X,,,,X,,,X,X,,,,,X,X,,,,,,,,
nolapro,X,X,X,X,,X,,X,X,X,,,X,X,,,,,,,,,
nosa xp,X,,,,X,,,X,X,X,,,X,X,,,,,,,,,
open systems accounting software,X,X,X,,X,,,X,X,,,,,X,,,,,,,,,
openda qx,X,,X,,X,,,X,X,,,,,,,,,,,X,,,
oracle e-business suite,X,X,X,,X,,,,,X,,,X,,,,,,,,,,
outright,X,X,X,X,,X,,X,,,,,X,,,,,,,,,,
passport software,X,,X,,X,,,X,X,,,,,X,,,,,,,,,
pos solutions,X,,,,X,,,,,,,X,,X,,,,,,,,,
quickbooks enterprise solutions,X,X,,,X,,,,X,,,,,X,,,,,,,,,
quickbooks online,X,X,X,,X,,,X,,,,,X,,,,,,,,,,
quickbooks pro/premier,X,X,,,X,,,X,X,,,,,X,,,,,,,,,
quicken,X,X,,,X,,,,,,X,,,X,,,,,,,,,
red wing software,X,,,,X,,,X,X,,,,,X,,,,,,,,,
saasu,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
sage group,X,,,,X,,,,,,,X,,X,,,,,,,,,
sage 50 accounting,X,,,,X,,,X,X,X,,,,X,,,,,,,,,
sage 300 erp,X,X,X,,X,,,,X,,,,X,X,,,,,,,,,
sage line 50,X,,,,X,,,X,,,,,,X,,,,,,,,,
sage pastel evolution,X,,,,X,,,X,X,X,,,,X,,,,,,,,,
sage pfw erp,X,,X,,X,,,,X,,,,,X,,,,,,,,,
sap business bydesign,X,,,,X,,,X,X,,,,X,,,,,,,,,,
sap business one,X,,,,X,,,X,X,,,,,X,,,,,,,,,
sap erp,X,X,X,,X,,,,X,X,,,X,X,,,,,,,,,
simply accounting,X,,X,,X,,,X,,,,,,X,,,,,,,,,
softline pastel,X,X,,X,X,,,X,X,X,,,,X,,,,,,,,,
tally,X,,,,X,,,,X,,,,,X,,,,,,,,,
traverse,X,,,,X,,,X,X,,,,,X,,,,,,,,,
wave accounting,X,X,X,X,,,,X,,,,,X,,,,,,,,,,
xero,X,X,X,X,,,,X,X,,,,X,,,,,,,,,,
you need a budget,X,X,,,X,,,,,,X,,,X,,,,,,,,,
