name,programming language:j2ee,programming language:jboss,programming language:java,programming language:xml,programming language:freemarker,programming language:groovy,programming language:javascript,programming language:c,programming language:php,programming language:scheme,programming language:lisp,programming language:perl,programming language:python,programming language:objective-c,programming language:eclipse rcp,programming language:jdo,programming language:c++,programming language:*,first public release date:1982,first public release date:1985,first public release date:1998,first public release date:1999,first public release date:2000,first public release date:2001,first public release date:2002,first public release date:2003,first public release date:2006,first public release date:2008,first public release date:[1982-1985],first public release date:[1985-1998],first public release date:[1998-1999],first public release date:[1999-2000],first public release date:[2000-2001],first public release date:[2001-2002],first public release date:[2002-2003],first public release date:[2003-2006],first public release date:[2006-2008],first public release date:[1982-1998],first public release date:[1985-1999],first public release date:[1998-2000],first public release date:[1999-2001],first public release date:[2000-2002],first public release date:[2001-2003],first public release date:[2002-2006],first public release date:[2003-2008],first public release date:[1982-1999],first public release date:[1985-2000],first public release date:[1998-2001],first public release date:[1999-2002],first public release date:[2000-2003],first public release date:[2001-2006],first public release date:[2002-2008],first public release date:[1982-2000],first public release date:[1985-2001],first public release date:[1998-2002],first public release date:[1999-2003],first public release date:[2000-2006],first public release date:[2001-2008],first public release date:[1982-2001],first public release date:[1985-2002],first public release date:[1998-2003],first public release date:[1999-2006],first public release date:[2000-2008],first public release date:[1982-2002],first public release date:[1985-2003],first public release date:[1998-2006],first public release date:[1999-2008],first public release date:[1982-2003],first public release date:[1985-2006],first public release date:[1998-2008],first public release date:[1982-2006],first public release date:[1985-2008],first public release date:[1982-2008],first public release date:*,latest stable release:3.6,latest stable release:12.04.03,latest stable release:5.0.0,latest stable release:3.2,latest stable release:2.3.24,latest stable release:2.6.6,latest stable release:1.4,latest stable release:5.0.2,latest stable release:6.1,latest stable release:1.0.1,latest stable release:4.7.2,latest stable release:1.4.11,latest stable release:2.28.1,latest stable release:3.0,latest stable release:7.0,latest stable release:3.0.2,latest stable release:4.07.10,latest stable release:*,stable release date:2008,stable release date:2009,stable release date:2010,stable release date:2012,stable release date:2013,stable release date:2014,stable release date:2015,stable release date:[2008-2009],stable release date:[2009-2010],stable release date:[2010-2012],stable release date:[2012-2013],stable release date:[2013-2014],stable release date:[2014-2015],stable release date:[2008-2010],stable release date:[2009-2012],stable release date:[2010-2013],stable release date:[2012-2014],stable release date:[2013-2015],stable release date:[2008-2012],stable release date:[2009-2013],stable release date:[2010-2014],stable release date:[2012-2015],stable release date:[2008-2013],stable release date:[2009-2014],stable release date:[2010-2015],stable release date:[2008-2014],stable release date:[2009-2015],stable release date:[2008-2015],stable release date:*,development status:5 - production / stable,development status:*,database:oracle,database:postgresql,database:derby,database:ms sql,database:mysql,database:advance server,database:xml,database:sqlite,database:*,database:sql,database:ibm db2,database:innodb
adempiere,X,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,X,,X,X,,,,,,,,,,
apache ofbiz,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,X,,,,,,,
cgram software,,,X,,,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,X,,,,,,,,,,
compiere,X,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,X,,X,X,,X,,X,,,,,,
frontaccounting,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,X,,,,,,X,,,,,,,
gnucash,,,,,,,,X,,X,X,X,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,X,,,X,,,X,,X,X,,,,
gnu enterprise,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,X,,,X,,,,,,,,,,
homebank,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,X,,,,,,,,X,,,,,
intars,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,X,,,
jfire,X,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,X,,,,,,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,,X,,,X,X,,,,,,,,
