support,pertinence,implications,type,robustesse
0.8888888888888888,2,development status:5 - production / stable -> stable release date:[2008-2015],implications,0.1244964599609375
0.7222222222222222,2,first public release date:[1982-2008] -> development status:5 - production / stable,implications,-0.9400634765625
0.6666666666666666,2,database:postgresql -> stable release date:[2008-2015],implications,0.896240234375
0.2777777777777778,2,first public release date:* -> stable release date:[2010-2015],implications,1.28125
0.2222222222222222,2,programming language:jboss -> stable release date:[2008-2013],implications,-1.4375
0.2222222222222222,2,programming language:j2ee -> stable release date:[2008-2013],implications,-1.4375
0.16666666666666666,2,programming language:c -> first public release date:[1982-1999],implications,0.375
0.16666666666666666,2,database:xml -> first public release date:[1998-2000],implications,1.375
0.16666666666666666,2,database:ms sql -> stable release date:[2008-2014],implications,1.875
0.1111111111111111,2,programming language:php -> database:mysql,implications,0.25
0.1111111111111111,2,database:* -> first public release date:[1985-1999],implications,-0.25
0.05555555555555555,1,stable release date:2014 -> database:derby,implications,0.5
0.05555555555555555,1,stable release date:2009 -> programming language:java,implications,0.5
0.05555555555555555,1,programming language:scheme -> first public release date:1999,implications,0.5
0.05555555555555555,1,programming language:objective-c -> first public release date:1999,implications,-0.5
0.05555555555555555,2,programming language:objective-c -> database:*,implications,-0.5
0.05555555555555555,1,programming language:lisp -> first public release date:1999,implications,0.5
0.05555555555555555,1,programming language:jdo -> stable release date:2010,implications,-0.5
0.05555555555555555,2,programming language:jdo -> development status:*,implications,-0.5
0.05555555555555555,2,programming language:jdo -> database:derby,implications,-0.5
0.05555555555555555,2,programming language:groovy -> database:derby,implications,0.5
0.05555555555555555,2,programming language:freemarker -> database:derby,implications,0.5
0.05555555555555555,1,programming language:eclipse rcp -> stable release date:2010,implications,-0.5
0.05555555555555555,2,programming language:eclipse rcp -> development status:*,implications,-0.5
0.05555555555555555,2,programming language:eclipse rcp -> database:derby,implications,-0.5
0.05555555555555555,0,latest stable release:7.0 -> programming language:xml,implications,0.5
0.05555555555555555,0,latest stable release:7.0 -> programming language:javascript,implications,0.5
0.05555555555555555,0,latest stable release:6.1 -> first public release date:1999,implications,-0.5
0.05555555555555555,0,latest stable release:6.1 -> database:*,implications,-0.5
0.05555555555555555,0,latest stable release:5.0.0 -> programming language:java,implications,0.5
0.05555555555555555,0,latest stable release:4.7.2 -> programming language:c++,implications,-0.5
0.05555555555555555,0,latest stable release:4.07.10 -> programming language:php,implications,0.5
0.05555555555555555,0,latest stable release:3.6 -> stable release date:2010,implications,0.5
0.05555555555555555,0,latest stable release:3.2 -> stable release date:2008,implications,0.5
0.05555555555555555,0,latest stable release:3.0.2 -> programming language:perl,implications,0.5
0.05555555555555555,0,latest stable release:3.0.2 -> development status:*,implications,0.5
0.05555555555555555,0,latest stable release:2.6.6 -> first public release date:1999,implications,0.5
0.05555555555555555,0,latest stable release:2.3.24 -> programming language:php,implications,-0.5
0.05555555555555555,0,latest stable release:2.28.1 -> programming language:c++,implications,0.5
0.05555555555555555,0,latest stable release:2.28.1 -> database:*,implications,0.5
0.05555555555555555,0,latest stable release:12.04.03 -> database:derby,implications,0.5
0.05555555555555555,0,latest stable release:1.4 -> stable release date:2008,implications,0.5
0.05555555555555555,0,latest stable release:1.0.1 -> stable release date:2010,implications,-0.5
0.05555555555555555,0,latest stable release:1.0.1 -> development status:*,implications,-0.5
0.05555555555555555,0,latest stable release:1.0.1 -> database:derby,implications,-0.5
0.05555555555555555,1,first public release date:2008 -> stable release date:2013,implications,0.5
0.05555555555555555,0,first public release date:2008 -> latest stable release:3.0,implications,0.5
0.05555555555555555,1,first public release date:2003 -> programming language:php,implications,0.5
0.05555555555555555,1,first public release date:2000 -> programming language:c++,implications,-0.5
0.05555555555555555,1,first public release date:1985 -> programming language:c++,implications,0.5
0.05555555555555555,1,first public release date:1985 -> database:*,implications,0.5
0.05555555555555555,1,first public release date:1982 -> programming language:java,implications,0.5
0.05555555555555555,2,database:sql -> programming language:c++,implications,-0.5
0.05555555555555555,2,database:innodb -> programming language:php,implications,0.5
0.05555555555555555,2,database:ibm db2 -> programming language:c++,implications,-0.5
0.05555555555555555,1,database:advance server -> stable release date:2008,implications,0.5
