support,pertinence,mutex
0.2777777777777778,,	stable release date:[2008-2010] ->! database:mysql
0.2777777777777778,,	first public release date:[1985-2000] ->! stable release date:[2008-2010]
0.2777777777777778,,	first public release date:[1982-1999] ->! database:oracle
0.2222222222222222,,	stable release date:2012 ->! database:oracle
0.2222222222222222,,	programming language:j2ee ->! stable release date:[2014-2015]
0.2222222222222222,,	programming language:j2ee ->! stable release date:2012
0.2222222222222222,,	programming language:j2ee ->! first public release date:[1982-2000]
0.2222222222222222,,	programming language:j2ee ->! database:mysql
0.2222222222222222,,	first public release date:[2006-2008] ->! stable release date:2012
0.16666666666666666,,	stable release date:[2012-2013] ->! database:ms sql
0.16666666666666666,,	stable release date:[2008-2014] ->! database:xml
0.16666666666666666,,	stable release date:2015 ->! database:ms sql
0.16666666666666666,,	programming language:python ->! stable release date:[2014-2015]
0.16666666666666666,,	programming language:python ->! stable release date:[2009-2010]
0.16666666666666666,,	programming language:python ->! first public release date:[2003-2006]
0.16666666666666666,,	programming language:python ->! first public release date:[1982-2001]
0.16666666666666666,,	programming language:python ->! database:xml
0.16666666666666666,,	programming language:python ->! database:oracle
0.16666666666666666,,	programming language:python ->! database:ms sql
0.16666666666666666,,	programming language:perl ->! stable release date:[2013-2014]
0.16666666666666666,,	programming language:perl ->! stable release date:[2008-2010]
0.16666666666666666,,	programming language:perl ->! first public release date:[2000-2003]
0.16666666666666666,,	programming language:perl ->! first public release date:[1982-1998]
0.16666666666666666,,	programming language:perl ->! database:oracle
0.16666666666666666,,	programming language:perl ->! database:ms sql
0.16666666666666666,,	programming language:j2ee ->! database:xml
0.16666666666666666,,	programming language:j2ee ->! database:sqlite
0.16666666666666666,,	programming language:c ->! first public release date:[2000-2008]
0.16666666666666666,,	programming language:c ->! first public release date:*
0.16666666666666666,,	programming language:c ->! database:oracle
0.16666666666666666,,	programming language:c ->! database:ms sql
0.16666666666666666,,	first public release date:[2003-2008] ->! stable release date:[2008-2009]
0.16666666666666666,,	first public release date:[2002-2008] ->! database:ms sql
0.16666666666666666,,	first public release date:[2001-2008] ->! database:xml
0.16666666666666666,,	first public release date:[2001-2003] ->! stable release date:[2013-2015]
0.16666666666666666,,	first public release date:[2000-2002] ->! stable release date:[2009-2014]
0.16666666666666666,,	first public release date:[2000-2002] ->! database:mysql
0.16666666666666666,,	first public release date:[1985-2003] ->! stable release date:[2009-2010]
0.16666666666666666,,	first public release date:[1982-2003] ->! stable release date:[2013-2014]
0.16666666666666666,,	first public release date:[1982-2000] ->! database:ms sql
0.16666666666666666,,	first public release date:[1982-1998] ->! stable release date:[2010-2014]
0.16666666666666666,,	first public release date:[1982-1998] ->! database:mysql
0.16666666666666666,,	first public release date:2006 ->! database:mysql
0.16666666666666666,,	first public release date:* ->! stable release date:[2008-2009]
0.16666666666666666,,	first public release date:* ->! database:xml
0.16666666666666666,,	first public release date:* ->! database:sqlite
0.1111111111111111,,	stable release date:[2013-2015] ->! development status:*
0.1111111111111111,,	stable release date:[2013-2014] ->! database:*
0.1111111111111111,,	stable release date:[2008-2010] ->! database:*
0.1111111111111111,,	stable release date:[2008-2009] ->! development status:*
0.1111111111111111,,	stable release date:[2008-2009] ->! database:derby
0.1111111111111111,,	programming language:xml ->! stable release date:[2008-2010]
0.1111111111111111,,	programming language:xml ->! stable release date:2015
0.1111111111111111,,	programming language:xml ->! stable release date:2013
0.1111111111111111,,	programming language:xml ->! latest stable release:3.0
0.1111111111111111,,	programming language:xml ->! first public release date:[1982-2008]
0.1111111111111111,,	programming language:xml ->! development status:*
0.1111111111111111,,	programming language:xml ->! database:xml
0.1111111111111111,,	programming language:xml ->! database:sqlite
0.1111111111111111,,	programming language:xml ->! database:*
0.1111111111111111,,	programming language:python ->! development status:*
0.1111111111111111,,	programming language:python ->! database:*
0.1111111111111111,,	programming language:php ->! stable release date:[2013-2014]
0.1111111111111111,,	programming language:php ->! stable release date:[2008-2010]
0.1111111111111111,,	programming language:php ->! latest stable release:3.0
0.1111111111111111,,	programming language:php ->! first public release date:[2006-2008]
0.1111111111111111,,	programming language:php ->! first public release date:[1982-2002]
0.1111111111111111,,	programming language:php ->! development status:*
0.1111111111111111,,	programming language:php ->! database:xml
0.1111111111111111,,	programming language:php ->! database:postgresql
0.1111111111111111,,	programming language:php ->! database:ms sql
0.1111111111111111,,	programming language:php ->! database:*
0.1111111111111111,,	programming language:perl ->! latest stable release:3.0
0.1111111111111111,,	programming language:perl ->! database:*
0.1111111111111111,,	programming language:java ->! stable release date:[2010-2013]
0.1111111111111111,,	programming language:java ->! stable release date:2015
0.1111111111111111,,	programming language:java ->! latest stable release:3.0
0.1111111111111111,,	programming language:java ->! development status:*
0.1111111111111111,,	programming language:java ->! database:xml
0.1111111111111111,,	programming language:java ->! database:sqlite
0.1111111111111111,,	programming language:java ->! database:*
0.1111111111111111,,	programming language:j2ee ->! first public release date:[2002-2003]
0.1111111111111111,,	programming language:j2ee ->! database:*
0.1111111111111111,,	programming language:c++ ->! stable release date:[2008-2014]
0.1111111111111111,,	programming language:c++ ->! first public release date:[1998-1999]
0.1111111111111111,,	programming language:c++ ->! database:mysql
0.1111111111111111,,	programming language:c ->! latest stable release:3.0
0.1111111111111111,,	programming language:c ->! development status:*
0.1111111111111111,,	programming language:c ->! database:*
0.1111111111111111,,	latest stable release:3.0 ->! stable release date:[2008-2012]
0.1111111111111111,,	latest stable release:3.0 ->! development status:*
0.1111111111111111,,	latest stable release:3.0 ->! database:xml
0.1111111111111111,,	latest stable release:3.0 ->! database:ms sql
0.1111111111111111,,	latest stable release:3.0 ->! database:*
0.1111111111111111,,	first public release date:[2002-2003] ->! database:oracle
0.1111111111111111,,	first public release date:[2001-2002] ->! stable release date:[2009-2015]
0.1111111111111111,,	first public release date:[2000-2008] ->! database:*
0.1111111111111111,,	first public release date:[1985-1998] ->! stable release date:[2008-2014]
0.1111111111111111,,	first public release date:[1985-1998] ->! database:postgresql
0.1111111111111111,,	first public release date:[1982-2008] ->! development status:*
0.1111111111111111,,	first public release date:[1982-2008] ->! database:derby
0.1111111111111111,,	first public release date:[1982-2003] ->! stable release date:2010
0.1111111111111111,,	first public release date:[1982-2000] ->! stable release date:2008
