name,on-demand scan,on-access scan,heuristics,cloudav,firewall,ids,ips,email security,antispam,web protection,live-update,support,av comparatives,license:proprietary,license:gnu gpl,license:*,price:free,price:non-free,price:trialware,price:*,first release:1997,first release:2000,first release:2007,first release:2008,first release:2010,first release:2011,first release:2012,first release:2013,first release:[1997-2000],first release:[2000-2007],first release:[2007-2008],first release:[2008-2010],first release:[2010-2011],first release:[2011-2012],first release:[2012-2013],first release:[1997-2007],first release:[2000-2008],first release:[2007-2010],first release:[2008-2011],first release:[2010-2012],first release:[2011-2013],first release:[1997-2008],first release:[2000-2010],first release:[2007-2011],first release:[2008-2012],first release:[2010-2013],first release:[1997-2010],first release:[2000-2011],first release:[2007-2012],first release:[2008-2013],first release:[1997-2011],first release:[2000-2012],first release:[2007-2013],first release:[1997-2012],first release:[2000-2013],first release:[1997-2013],first release:*,country of origin:czech republic,country of origin:germany,country of origin:romania,country of origin:united states,country of origin:russia,country of origin:slovakia,country of origin:finland,country of origin:spain,country of origin:united kingdom,country of origin:brazil,country of origin:india,country of origin:japan,country of origin:*
avast mac security,X,X,X,,,,,X,,X,X,X,X,X,,,X,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,,,,,,,,,,,
avira free mac security,X,X,X,,,,,X,,X,X,,X,X,,,X,,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,,,,,,,,,,,
bitdefender antivirus for mac,X,X,X,,,,,,,X,X,X,X,X,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,,,,,,,,,
clam antivirus,X,X,,,,,,X,,,X,,,,X,,X,,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,,,,X,,,,,,,,,
comodo mac security,X,X,X,,,,,,,,X,,,X,,,X,,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,X,,,,,,,,,
dr. web anti-virus for mac os x,X,X,,,,,,,,,X,,,X,,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,,X,,,,,,,,
eset cyber security,X,X,X,X,,,,,,X,X,X,,X,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,X,,,,,,,
eset cyber security pro,X,X,X,X,X,,,X,,X,X,X,X,X,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,,,,,X,,,,,,,
f-secure anti-virus for mac,X,X,X,X,,X,,X,X,X,X,X,X,X,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,
virusbarrier,X,X,,,,,,,,,X,X,,X,,,,X,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,,,,X,,,,,,,,,
mac internet security,X,X,,,X,,,,,X,X,X,,X,,,,X,,,,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,,,,X,,,,,,,,,
kaspersky internet security,X,X,X,X,,,,X,,X,X,X,X,X,,,,X,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,,,,,,,,
panda antivirus for mac,X,X,X,X,,X,,X,X,X,X,X,X,X,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,,,,,
protectmac antivirus,X,X,,,,,,,,,X,X,X,X,,,,X,,,,,X,,,,,,,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,,,,,,,,,X,,,,
psafe total mac,X,X,,X,,,,,,X,X,X,X,X,,,X,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,,,,,,,,,X,,,
quick heal total security for mac,X,X,,,,,,,,X,X,X,,X,,,,X,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,,,,,,,,X,,
sophos anti-virus for mac,X,X,X,X,,X,X,X,,X,X,,X,X,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X,,,,
symantec endpoint protection,X,X,X,X,,,,X,X,X,X,X,X,X,,,,X,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,X,,,,,,,,,
norton antivirus for mac,X,X,X,,,,,,,,X,X,X,X,,,,X,,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,X,,,,,,,,,
titanium internet security for mac,X,X,X,,,,,,,X,X,X,X,X,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,
secureanywhere antivirus,X,X,,,,,,,,X,X,,,X,,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,X,,,,,,,,,
secureanywhere internet security plus,X,X,,,,,,,,X,X,,,X,,,,,X,,,,,,,,X,,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,,X,,,,,,,,,
