name,vendor:adobe systems,vendor:atg,vendor:lutris,vendor:borland,vendor:asf,vendor:glassfish community,vendor:oracle corporation,vendor:red hat,vendor:eclipse foundation,vendor:tmaxsoft,vendor:ow2 consortium,vendor:sap ag,vendor:ironflare,vendor:caucho technology,vendor:ruby,vendor:mechsoft,vendor:apple inc.,vendor:ibm,vendor:*,last release date:2005,last release date:2006,last release date:2007,last release date:2008,last release date:2009,last release date:2011,last release date:2012,last release date:2013,last release date:2014,last release date:2015,last release date:[2005-2006],last release date:[2006-2007],last release date:[2007-2008],last release date:[2008-2009],last release date:[2009-2011],last release date:[2011-2012],last release date:[2012-2013],last release date:[2013-2014],last release date:[2014-2015],last release date:[2005-2007],last release date:[2006-2008],last release date:[2007-2009],last release date:[2008-2011],last release date:[2009-2012],last release date:[2011-2013],last release date:[2012-2014],last release date:[2013-2015],last release date:[2005-2008],last release date:[2006-2009],last release date:[2007-2011],last release date:[2008-2012],last release date:[2009-2013],last release date:[2011-2014],last release date:[2012-2015],last release date:[2005-2009],last release date:[2006-2011],last release date:[2007-2012],last release date:[2008-2013],last release date:[2009-2014],last release date:[2011-2015],last release date:[2005-2011],last release date:[2006-2012],last release date:[2007-2013],last release date:[2008-2014],last release date:[2009-2015],last release date:[2005-2012],last release date:[2006-2013],last release date:[2007-2014],last release date:[2008-2015],last release date:[2005-2013],last release date:[2006-2014],last release date:[2007-2015],last release date:[2005-2014],last release date:[2006-2015],last release date:[2005-2015],last release date:*,java ee compatibility:[1.3-3.2],java ee compatibility:[3.2-5.1],java ee compatibility:[5.1-7.0],java ee compatibility:[1.3-5.1],java ee compatibility:[3.2-7.0],java ee compatibility:[1.3-7.0],java ee compatibility:*,Servlet spec:[2.3-2.5],Servlet spec:[2.5-2.7],Servlet spec:[2.7-2.9000000000000004],Servlet spec:[2.9000000000000004-3.1000000000000005],Servlet spec:[2.3-2.7],Servlet spec:[2.5-2.9000000000000004],Servlet spec:[2.7-3.1000000000000005],Servlet spec:[2.3-2.9000000000000004],Servlet spec:[2.5-3.1000000000000005],Servlet spec:[2.3-3.1000000000000005],Servlet spec:*,Jsp spec:[1.2-1.5],Jsp spec:[1.5-1.8],Jsp spec:[1.8-2.1],Jsp spec:[2.1-2.4],Jsp spec:[1.2-1.8],Jsp spec:[1.5-2.1],Jsp spec:[1.8-2.4],Jsp spec:[1.2-2.1],Jsp spec:[1.5-2.4],Jsp spec:[1.2-2.4],Jsp spec:*,license:proprietary,license:gpl,license:apache,license:cddl,license:lgpl,license:epl,license:*
coldfusion,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,X,X,,,X,X,,X,X,X,,,,X,X,,X,X,X,X,X,,X,,,,,,
dynamo as,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,,,
enhydra,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,X,,,,,
enterprise server,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,X,,,X,,X,,X,,,,X,,,X,,X,,,,X,,,X,X,X,X,X,,X,,,,,,
geronimo,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,,X,,,,
glassfish,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,X,,X,,,
iplanet web server,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,,X,,X,X,,X,X,,,X,X,,X,X,X,,,,X,X,,X,X,X,X,X,,X,,,,,,
jboss enterprise application platform,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,,,,X,,
jetty,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,,X,,,X,
jeus,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,X,,,,,,
jonas,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,,,,X,,
jrun,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,,,
netweaver application server,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,X,X,,,X,X,,X,X,X,,,,X,X,,X,X,X,X,X,,X,,,,,,
oracle containers for j2ee,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,,X,,X,,,,X,,,X,,X,,,,X,,,X,X,X,X,X,,X,,,,,,
orion application server,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,X,,,X,,X,,X,,,,,,
resin servlet container (open source),,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,X,,,,,
resin professional application server,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,X,,,,,,
ruby,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,X,,,,,,,X,,,,,,X,,,,,X,,,,X,,,X,,X,X,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,X,,
siwpas,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,X,,,,,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,X,,,,,,
tomee,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,,,X,,,,
weblogic server,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,,,X,,X,X,,,,,X,,,X,,X,X,,,,,X,,,X,,X,X,,X,,,,,,
