name,open source,x86-64,active development,os:windows,os:dos,os:linux,os:minix,os:unix-like,os:os/2,os:unix system v,os:cp/m-86,os:isis,os:irmx,os:freebsd,os:mac os x,os:pc/ix,os:windows mobile,os:*,os:xenix,license:proprietary,license:bsd,license:free,license:gpl,license:sybase open watcom public license,license:microsoft eula,license:*
a86/a386,,,,X,X,,,,,,,,,,,,,,,X,,,,,,
ack,X,,X,,,X,X,X,,,,,,,,,,,,,X,,,,,
arrowsoft assembler,,,,,X,,,,,,,,,,,,,,,,,X,,,,
ibm alp,,,,,,,,,X,,,,,,,,,,,X,,,,,,
at&t,,,X,,,,,,,X,,,,,,,,,,X,,,,,,
bruce d. evans' as86,X,,,,,X,X,,,,,,,,,,,,,,,,X,,,
digital research asm86,,,,,X,,,,,,X,X,X,,,,,,,X,,,,,,
develsoftware assembler,,,,X,,X,,X,,,,,,,,,,,,,,X,,,,
fasm,X,X,X,X,X,X,,X,,,,,,,,,,,,,X,,,,,
gas,X,X,X,X,X,,,X,X,,,,,,,,,,,,,,X,,,
goasm,,X,X,X,,,,,,,,,,,,,,,,,,X,,,,
hla,X,,X,X,,X,,,,,,,,X,X,,,,,,,X,,,,
jwasm,X,X,X,X,X,X,,,X,,,,,X,,,,,,,,,,X,,
lzasm,,,,X,X,,,,,,,,,,,,,,,,,X,,,,
masm,,X,X,X,X,,,,X,,,,,,,,,,,,,,,,X,
mical a86,X,,,,X,,,X,,,,,,,,X,,,,,,,,,,X
nasm,X,X,X,X,X,X,,,X,,,,,,X,,,,,,X,,,,,
tim paterson's asm,,,,,X,,,,,,,,,,,,,,,X,,,,,,
poasm,,X,X,X,,,,,,,,,,,,,X,,,,,X,,,,
rosasm,X,,,X,,,,,,,,,,,,,,,,,,,X,,,
slr's optasm,,,,,X,,,,,,,,,,,,,,,X,,,,,,
tasm,,,,X,X,,,,,,,,,,,,,,,X,,,,,,
wasm,X,,,X,X,,,,X,,,,,,,,,,,,,,,X,,
tccasm,X,X,X,X,,,,X,,,,,,,,,,,,,,,X,,,
vasm,X,,X,,,,,,,,,,,,,,,X,,,,X,,,,
xenix,,,,,,,,,,,,,,,,,,,X,X,,,,,,
yasm,X,X,X,X,X,X,,X,,,,,,,,,,,,,X,,,,,
