name,open source,linux,mac os x,windows,first public release:1999,first public release:2000,first public release:2002,first public release:2003,first public release:2004,first public release:2006,first public release:2007,first public release:2008,first public release:2009,first public release:2010,first public release:2011,first public release:2012,first public release:2013,first public release:2014,first public release:[1999-2000],first public release:[2000-2002],first public release:[2002-2003],first public release:[2003-2004],first public release:[2004-2006],first public release:[2006-2007],first public release:[2007-2008],first public release:[2008-2009],first public release:[2009-2010],first public release:[2010-2011],first public release:[2011-2012],first public release:[2012-2013],first public release:[2013-2014],first public release:[1999-2002],first public release:[2000-2003],first public release:[2002-2004],first public release:[2003-2006],first public release:[2004-2007],first public release:[2006-2008],first public release:[2007-2009],first public release:[2008-2010],first public release:[2009-2011],first public release:[2010-2012],first public release:[2011-2013],first public release:[2012-2014],first public release:[1999-2003],first public release:[2000-2004],first public release:[2002-2006],first public release:[2003-2007],first public release:[2004-2008],first public release:[2006-2009],first public release:[2007-2010],first public release:[2008-2011],first public release:[2009-2012],first public release:[2010-2013],first public release:[2011-2014],first public release:[1999-2004],first public release:[2000-2006],first public release:[2002-2007],first public release:[2003-2008],first public release:[2004-2009],first public release:[2006-2010],first public release:[2007-2011],first public release:[2008-2012],first public release:[2009-2013],first public release:[2010-2014],first public release:[1999-2006],first public release:[2000-2007],first public release:[2002-2008],first public release:[2003-2009],first public release:[2004-2010],first public release:[2006-2011],first public release:[2007-2012],first public release:[2008-2013],first public release:[2009-2014],first public release:[1999-2007],first public release:[2000-2008],first public release:[2002-2009],first public release:[2003-2010],first public release:[2004-2011],first public release:[2006-2012],first public release:[2007-2013],first public release:[2008-2014],first public release:[1999-2008],first public release:[2000-2009],first public release:[2002-2010],first public release:[2003-2011],first public release:[2004-2012],first public release:[2006-2013],first public release:[2007-2014],first public release:[1999-2009],first public release:[2000-2010],first public release:[2002-2011],first public release:[2003-2012],first public release:[2004-2013],first public release:[2006-2014],first public release:[1999-2010],first public release:[2000-2011],first public release:[2002-2012],first public release:[2003-2013],first public release:[2004-2014],first public release:[1999-2011],first public release:[2000-2012],first public release:[2002-2013],first public release:[2003-2014],first public release:[1999-2012],first public release:[2000-2013],first public release:[2002-2014],first public release:[1999-2013],first public release:[2000-2014],first public release:[1999-2014],first public release:*,cost:non-free,cost:free,cost:*,license:proprietary,license:freeware,license:gpl,license:*,license:shareware,license:donationware,license:bsd,license:public domain,framework:*,framework:.net,framework:python,framework:vcl,framework:c,framework:java,framework:qt,framework:delphi,framework:gtk
accuhash,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,,,,,,,,X,,,,,,,,
beaversfv,,,,X,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,X,,,,,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,X,,,,,,,,X,,,,,,,
cdcheck,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,X,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,,X,,,X,,,,,,,,X,,,,,,,,
checksum compare,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,,,X,,,,,,,X,,,,,,,,
cfv,X,X,,X,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,,,X,,,,X,,,,,,,,X,,,,,,
chk,,,,X,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,X,,,,,X,X,X,X,X,,,,X,X,X,X,X,,,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,X,,,,,,,,,,X,,,,,
cksum,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,X,,,,,,,,,X,,,,
cobynsoft's hash calculator,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,X,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,,X,X,X,X,,,,X,X,X,X,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,X,,,,,,,,X,,,,,,,
data digester,,X,X,X,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,,,,,X,X,,,,X,X,,,X,X,,X,X,X,X,X,,X,,,X,,,,,,,,,,,,,X,,,
deepdigest,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,X,X,X,,,,,,,,,X,X,X,,,,,,,,X,X,X,,,,,,,X,X,X,,,,,,X,X,X,,,,,X,X,X,,,,X,X,X,,,X,X,X,,X,X,X,X,X,X,X,X,X,,,X,,,,X,,,,,,,,,,,,X,,
